SpName,varText,,Groups,Obs_Occ,biasSum,Prop_reports,Exp_Occ,Chi_Val,CompareVal
Abies_concolor,TN,G,5,345,294089,0.0726,302.1612,6.0735,greater
Abies_concolor,VX,G,1,232,1081752,0.2669,1110.8378,695.2913,lesser
Abies_concolor,VX,G,2,811,953847,0.2354,979.7348,29.0603,lesser
Abies_concolor,VX,G,3,1181,452120,0.1116,464.4792,1105.3284,greater
Abies_concolor,VX,G,4,1517,660863,0.1631,678.8222,1034.9426,greater
Abies_concolor,VX,G,5,421,903895,0.223,928.126,277.0925,lesser
Abies_concolor,VN,G,1,3212,953258,0.2352,978.9024,5094.2003,greater
Abies_concolor,VN,G,2,820,814172,0.2009,836.1458,0.3118,lesser
Abies_concolor,VN,G,3,87,982574,0.2425,1009.285,842.7844,lesser
Abies_concolor,VN,G,4,24,664034,0.1639,682.1518,634.9962,lesser
Abies_concolor,VN,G,5,19,638439,0.1575,655.515,618.0657,lesser
Abies_fraseri,TX,G,1,155,901798,0.2225,89.89,47.1611,greater
Abies_fraseri,TX,G,2,177,1031725,0.2546,102.8584,53.4422,greater
Abies_fraseri,TX,G,3,59,653130,0.1612,65.1248,0.576,lesser
Abies_fraseri,TX,G,4,13,610776,0.1507,60.8828,37.6586,lesser
Abies_fraseri,TX,G,5,155,855048,0.211,85.244,57.082,greater
Abies_fraseri,TN,G,1,4,1303793,0.3217,129.9668,122.0899,lesser
Abies_fraseri,TN,G,2,132,1121833,0.2768,111.8272,3.639,greater
Abies_fraseri,TN,G,3,245,875179,0.216,87.264,285.1192,greater
Abies_fraseri,TN,G,4,18,457583,0.1129,45.6116,16.7151,lesser
Abies_fraseri,TN,G,5,5,294089,0.0726,29.3304,20.1828,lesser
Abies_fraseri,VX,G,1,205,1081752,0.2669,107.8276,87.5701,greater
Abies_fraseri,VX,G,2,172,953847,0.2354,95.1016,62.1794,greater
Abies_fraseri,VX,G,3,20,452120,0.1116,45.0864,13.9583,lesser
Abies_fraseri,VX,G,4,7,660863,0.1631,65.8924,52.636,lesser
Abies_fraseri,VX,G,5,205,903895,0.223,90.092,146.5596,greater
Abies_fraseri,VN,G,1,18,953258,0.2352,95.0208,62.4306,lesser
Abies_fraseri,VN,G,2,94,814172,0.2009,81.1636,2.0301,greater
Abies_fraseri,VN,G,3,113,982574,0.2425,97.97,2.3058,greater
Abies_fraseri,VN,G,4,179,664034,0.1639,66.2156,192.1046,greater
Abies_fraseri,VN,G,5,18,638439,0.1575,63.63,32.7219,lesser
Abies_grandis,TX,G,1,808,901798,0.2225,308.6075,808.1232,greater
Abies_grandis,TX,G,2,519,1031725,0.2546,353.1302,77.9112,greater
Abies_grandis,TX,G,3,46,653130,0.1612,223.5844,141.0484,lesser
Abies_grandis,TX,G,4,11,610776,0.1507,209.0209,187.5998,lesser
Abies_grandis,TX,G,5,3,855048,0.211,292.657,286.6878,lesser
Abies_grandis,TN,G,1,37,1303793,0.3217,446.1979,375.266,lesser
Abies_grandis,TN,G,2,706,1121833,0.2768,383.9216,270.1971,greater
Abies_grandis,TN,G,3,286,875179,0.216,299.592,0.6166,lesser
Abies_grandis,TN,G,4,286,457583,0.1129,156.5923,106.9424,greater
Abies_grandis,TN,G,5,72,294089,0.0726,100.6962,8.1778,lesser
Abies_grandis,VX,G,1,685,1081752,0.2669,370.1903,267.7141,greater
Abies_grandis,VX,G,2,588,953847,0.2354,326.4998,209.4407,greater
Abies_grandis,VX,G,3,90,452120,0.1116,154.7892,27.1184,lesser
Abies_grandis,VX,G,4,21,660863,0.1631,226.2197,186.1691,lesser
Abies_grandis,VX,G,5,3,903895,0.223,309.301,303.3301,lesser
Abies_grandis,VN,G,1,58,953258,0.2352,326.2224,220.5344,lesser
Abies_grandis,VN,G,2,338,814172,0.2009,278.6483,12.6418,greater
Abies_grandis,VN,G,3,380,982574,0.2425,336.3475,5.6654,greater
Abies_grandis,VN,G,4,197,664034,0.1639,227.3293,4.0464,lesser
Abies_grandis,VN,G,5,414,638439,0.1575,218.4525,175.0441,greater
Abies_lasiocarpa,TX,G,1,37,901798,0.2225,20.025,14.3895,greater
Abies_lasiocarpa,TX,G,2,27,1031725,0.2546,22.914,0.7286,greater
Abies_lasiocarpa,TX,G,3,24,653130,0.1612,14.508,6.2102,greater
Abies_lasiocarpa,TX,G,4,2,610776,0.1507,13.563,9.8579,lesser
Abies_lasiocarpa,TX,G,5,37,855048,0.211,18.99,17.0806,greater
Abies_lasiocarpa,TN,G,1,6,1303793,0.3217,28.953,18.1964,lesser
Abies_lasiocarpa,TN,G,2,47,1121833,0.2768,24.912,19.5841,greater
Abies_lasiocarpa,TN,G,3,26,875179,0.216,19.44,2.2137,greater
Abies_lasiocarpa,TN,G,4,6,457583,0.1129,10.161,1.704,lesser
Abies_lasiocarpa,TN,G,5,5,294089,0.0726,6.534,0.3601,lesser
Abies_lasiocarpa,VX,G,1,48,1081752,0.2669,24.021,23.9371,greater
Abies_lasiocarpa,VX,G,2,39,953847,0.2354,21.186,14.9787,greater
Abies_lasiocarpa,VX,G,3,1,452120,0.1116,10.044,8.1436,lesser
Abies_lasiocarpa,VX,G,4,2,660863,0.1631,14.679,10.9515,lesser
Abies_lasiocarpa,VX,G,5,48,903895,0.223,20.07,38.8682,greater
Abies_lasiocarpa,VN,G,1,1,953258,0.2352,21.168,19.2152,lesser
Abies_lasiocarpa,VN,G,2,8,814172,0.2009,18.081,5.6206,lesser
Abies_lasiocarpa,VN,G,3,20,982574,0.2425,21.825,0.1526,lesser
Abies_lasiocarpa,VN,G,4,36,664034,0.1639,14.751,30.6095,greater
Abies_lasiocarpa,VN,G,5,25,638439,0.1575,14.175,8.2667,greater
Abies_magnifica,TX,G,1,545,901798,0.2225,142.4,1138.2497,greater
Abies_magnifica,TX,G,2,66,1031725,0.2546,162.944,57.6771,lesser
Abies_magnifica,TX,G,3,17,653130,0.1612,103.168,71.9693,lesser
Abies_magnifica,TX,G,4,9,610776,0.1507,96.448,79.2878,lesser
Abies_magnifica,TX,G,5,3,855048,0.211,135.04,129.1066,lesser
Abies_magnifica,TN,G,1,5,1303793,0.3217,205.888,196.0094,lesser
Abies_magnifica,TN,G,2,38,1121833,0.2768,177.152,109.3032,lesser
Abies_magnifica,TN,G,3,231,875179,0.216,138.24,62.2426,greater
Abies_magnifica,TN,G,4,221,457583,0.1129,72.256,306.1999,greater
Abies_magnifica,TN,G,5,145,294089,0.0726,46.464,208.9649,greater
Abies_magnifica,VX,G,1,144,1081752,0.2669,170.816,4.2098,lesser
Abies_magnifica,VX,G,2,281,953847,0.2354,150.656,112.7705,greater
Abies_magnifica,VX,G,3,163,452120,0.1116,71.424,117.4138,greater
Abies_magnifica,VX,G,4,47,660863,0.1631,104.384,31.5462,lesser
Abies_magnifica,VX,G,5,5,903895,0.223,142.72,132.8952,lesser
Abies_magnifica,VN,G,1,456,953258,0.2352,150.528,619.9056,greater
Abies_magnifica,VN,G,2,154,814172,0.2009,128.576,5.0272,greater
Abies_magnifica,VN,G,3,29,982574,0.2425,155.2,102.6188,lesser
Abies_magnifica,VN,G,4,1,664034,0.1639,104.896,102.9055,lesser
Abies_magnifica,VN,G,5,456,638439,0.1575,100.8,1251.6571,greater
Abies_procera,TX,G,1,363,901798,0.2225,92.115,796.5986,greater
Abies_procera,TX,G,2,45,1031725,0.2546,105.4044,34.6161,lesser
Abies_procera,TX,G,3,4,653130,0.1612,66.7368,58.9765,lesser
Abies_procera,TX,G,4,1,610776,0.1507,62.3898,60.4058,lesser
Abies_procera,TX,G,5,1,855048,0.211,87.354,85.3654,lesser
Abies_procera,TN,G,1,1,1303793,0.3217,133.1838,131.1913,lesser
Abies_procera,TN,G,2,120,1121833,0.2768,114.5952,0.2549,greater
Abies_procera,TN,G,3,233,875179,0.216,89.424,230.5205,greater
Abies_procera,TN,G,4,50,457583,0.1129,46.7406,0.2273,greater
Abies_procera,TN,G,5,10,294089,0.0726,30.0564,13.3835,lesser
Abies_procera,VX,G,1,318,1081752,0.2669,110.4966,389.6741,greater
Abies_procera,VX,G,2,78,953847,0.2354,97.4556,3.884,lesser
Abies_procera,VX,G,3,15,452120,0.1116,46.2024,21.0723,lesser
Abies_procera,VX,G,4,2,660863,0.1631,67.5234,63.5826,lesser
